Formula,Hardness_HV,Co,Fe,Ni,Si,Al,Cr,Mo,Ti,Cu,Mn,Nb,V,Zr,B,Nd,Sn,Hf,Ta,W,Zn,Re,C,Pd,Sc,Y
Cr0.28571429Fe0.28571429Ni0.28571429Ti0.14285714,709.6,0.0,0.28571429,0.28571429,0.0,0.0,0.28571429,0.0,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr0.27777778Fe0.27777778Ni0.27777778Ti0.16666667,718.2,0.0,0.27777778,0.27777778,0.0,0.0,0.27777778,0.0,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.2Cr0.2Cu0.2Fe0.2Mn0.2,633.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.1980198Cr0.1980198Cu0.1980198Fe0.1980198Mn0.1980198W0.00990099,680.0,0.0,0.1980198,0.0,0.0,0.1980198,0.1980198,0.0,0.0,0.1980198,0.1980198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00990099,0.0,0.0,0.0,0.0,0.0,0.0
Al0.19607843Cr0.19607843Cu0.19607843Fe0.19607843Mn0.19607843W0.01960784,705.0,0.0,0.19607843,0.0,0.0,0.19607843,0.19607843,0.0,0.0,0.19607843,0.19607843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01960784,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18181818Cr0.18181818Cu0.18181818Fe0.18181818Mn0.18181818W0.09090909,780.0,0.0,0.18181818,0.0,0.0,0.18181818,0.18181818,0.0,0.0,0.18181818,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0
Co0.1Cr0.1Fe0.5Mn0.3,296.0,0.1,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0.00298211Co0.0999006Cr0.0999006Fe0.49701789Mn0.30019881,282.0,0.0999006,0.49701789,0.0,0.0,0.0,0.0999006,0.0,0.0,0.0,0.30019881,0.0,0.0,0.0,0.00298211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0.00593178Co0.09985171Cr0.09985171Fe0.49431537Mn0.30004943,306.0,0.09985171,0.49431537,0.0,0.0,0.0,0.09985171,0.0,0.0,0.0,0.30004943,0.0,0.0,0.0,0.00593178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0.01690821Co0.1Cr0.1Fe0.48309179Mn0.3,452.0,0.1,0.48309179,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.01690821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hf0.33333333Ti0.33333333Zr0.33333333,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hf0.25Sc0.25Ti0.25Zr0.25,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Hf0.25Ti0.25Y0.25Zr0.25,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Hf0.2Sc0.2Ti0.2Y0.2Zr0.2,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Al0.17989757Co0.30025608Cr0.09987196Fe0.09987196Ni0.32010243,305.4,0.30025608,0.09987196,0.32010243,0.0,0.17989757,0.09987196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18004338Co0.29996901Cr0.10009297Fe0.10009297Mo0.00991633Ni0.30988534,357.3,0.29996901,0.10009297,0.30988534,0.0,0.18004338,0.10009297,0.00991633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.180018Co0.30003Cr0.09990999Fe0.09990999Mo0.02010201Ni0.30003,362.6,0.30003,0.09990999,0.30003,0.0,0.180018,0.09990999,0.02010201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.180018Co0.30003Cr0.09990999Fe0.09990999Mo0.030003Ni0.29012901,359.7,0.30003,0.09990999,0.29012901,0.0,0.180018,0.09990999,0.030003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.24102193Cr0.24102193Fe0.24102193Mo0.03591227Ni0.24102193,210.0,0.24102193,0.24102193,0.24102193,0.0,0.0,0.24102193,0.03591227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.2Cr0.2Cu0.2Ni0.2Zn0.2,615.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Hf0.2Nb0.2Ta0.2Ti0.2Zr0.2,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nb0.25Ta0.25Ti0.25Zr0.25,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nb0.33333333Ta0.33333333Ti0.33333333,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ta0.33333333Ti0.33333333Zr0.33333333,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nb0.33333333Ti0.33333333Zr0.33333333,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.33333333,0.0,0.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nb0.37495313Ta0.25009374Ti0.25009374Zr0.12485939,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25009374,0.0,0.0,0.37495313,0.0,0.12485939,0.0,0.0,0.0,0.0,0.25009374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nb0.12485939Ta0.25009374Ti0.25009374Zr0.37495313,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25009374,0.0,0.0,0.12485939,0.0,0.37495313,0.0,0.0,0.0,0.0,0.25009374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.24485922Fe0.31635558Mn0.28566909Ni0.1531161,330.0,0.0,0.31635558,0.1531161,0.0,0.24485922,0.0,0.0,0.0,0.0,0.28566909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
